21.21,66.86,47.73,82.56,21.33,-999,30.73,44.55,39.09,80.30,15.57,39.54,36.97,-999,83.17,31.10,-999,20.73,77.11,77.95,13.94,78.80,75.30,59.61,30.45,58.82,88.22,30.90,39.58,42.72,36.19,61.36,48.12,43.00,86.22,46.40,21.43,55.34,56.78,22.88,71.17,20.67,89.76,-999,38.30,23.81,82.57,71.48,60.84,42.89,71.40,31.58,71.92,21.64,62.47,86.10,15.28,-1.46,54.37,57.87,59.54,-999,54.34,72.35,43.80,-999,80.17,17.07,20.24,153.80,52.93,52.60,82.59,68.16,66.23,84.42,25.90,71.95,48.61,55.14,72.72,29.96,45.13,84.79,57.17,86.68,18.97,66.30,17.21,56.08,63.42,72.32,25.95,81.18,22.88,15.77,26.12,60.63,10.51,83.58
47.24,71.70,68.44,11.42,18.68,65.46,137.89,89.23,37.85,75.04,77.57,58.28,17.98,34.87,16.66,55.75,32.12,42.29,74.40,46.06,39.71,12.10,140.71,67.53,37.14,75.16,66.37,26.32,24.54,57.52,72.14,58.92,11.93,38.50,62.52,-999,14.27,38.91,62.06,66.07,88.24,12.50,74.40,89.49,66.21,19.55,20.75,21.25,33.31,47.46,32.60,61.45,55.86,62.49,-999,35.39,10.69,75.61,83.43,-999,42.88,53.98,66.39,43.85,77.74,43.42,58.72,32.58,17.28,69.18,39.14,66.26,49.16,49.24,66.35,76.71,13.18,19.73,15.94,58.20,56.55,55.69,86.73,19.44,84.87,60.03,33.02,78.74,-999,62.84,31.13,80.35,86.22,34.22,56.73,72.24,75.43,68.91,29.68,38.72
39.07,21.85,31.86,52.88,83.02,25.61,16.62,46.98,24.39,78.92,79.45,18.45,69.42,30.16,17.74,66.35,71.82,62.13,68.10,89.85,20.34,67.56,28.60,19.99,41.54,52.04,26.99,70.55,43.92,79.79,52.76,10.06,49.38,11.61,18.60,76.04,75.05,27.61,10.85,60.65,50.80,70.21,69.95,54.78,46.84,19.60,78.79,53.73,70.25,30.39,86.28,25.20,56.29,12.54,23.76,-999,71.78,78.87,54.23,69.75,70.75,77.73,40.24,42.89,80.52,33.01,51.49,76.14,25.73,67.26,51.68,43.73,56.18,81.01,56.52,13.03,82.30,83.31,72.14,-15.79,78.26,52.51,68.12,60.47,38.60,26.69,19.31,25.94,39.63,61.93,46.20,19.55,76.40,61.56,53.43,51.02,88.46,12.77,12.38,16.50
55.99,77.20,46.29,13.27,24.18,85.37,13.04,77.31,34.57,-999,50.28,80.99,17.23,56.96,18.09,69.70,12.22,66.01,60.91,60.68,77.88,42.06,-999,31.66,29.64,46.71,77.13,47.69,11.46,52.89,80.20,139.22,83.23,86.96,54.28,87.96,85.05,64.13,-999,83.74,84.04,83.54,59.98,23.46,12.82,25.54,19.39,53.19,19.32,67.71,71.74,38.77,57.08,46.55,15.19,82.77,-999,10.10,43.88,88.32,77.91,74.67,11.04,70.01,21.60,58.16,-999,20.36,43.97,30.02,-999,87.04,23.29,19.70,14.61,21.82,89.95,-999,67.86,16.89,49.50,78.02,39.39,47.92,60.96,77.31,30.57,-999,64.39,88.52,89.09,-999,15.03,-999,29.78,15.78,54.68,73.60,88.89,45.55
76.74,72.11,-999,27.16,55.49,73.50,80.58,70.18,67.76,48.11,87.48,10.22,88.50,77.59,-999,43.07,-999,61.77,24.82,55.02,22.28,17.19,26.18,50.83,72.42,40.73,73.98,29.06,23.65,62.60,56.27,-999,57.52,42.23,10.53,56.57,54.48,81.20,12.05,74.27,32.76,63.83,53.51,16.85,38.84,89.20,-999,74.40,48.87,43.27,32.26,38.17,26.52,51.08,64.71,56.16,65.97,49.71,58.23,-999,53.28,69.62,58.73,63.64,34.42,62.39,68.76,74.50,52.10,59.35,37.48,85.02,59.60,77.05,15.58,33.42,45.01,37.37,46.07,75.15,37.74,-8.28,53.64,71.89,82.72,28.80,71.23,16.82,15.56,35.37,41.86,70.24,36.92,15.88,44.32,25.72,62.68,45.95,40.81,40.21
88.88,31.01,115.32,74.47,14.56,-999,54.66,18.57,-999,88.09,52.42,-999,86.78,24.34,29.79,60.68,63.73,88.20,73.93,53.98,18.10,14.03,48.32,44.52,53.47,24.80,32.90,44.52,15.57,30.65,62.81,67.40,-999,-999,43.76,59.35,30.16,-999,-7.92,77.46,53.00,38.29,-999,80.86,82.11,62.36,81.47,76.92,82.82,30.36,17.15,85.83,66.56,41.00,17.43,79.35,36.51,87.94,64.76,31.60,65.86,68.67,58.01,85.38,87.90,-999,71.26,18.24,23.19,-4.83,45.44,60.04,65.35,22.24,40.89,88.15,42.07,21.30,35.35,21.26,77.25,20.44,30.23,28.14,54.85,61.59,12.40,74.77,74.52,52.64,28.06,26.20,63.75,72.94,17.58,84.24,47.11,24.73,24.84,85.16
32.39,45.40,17.80,23.84,22.64,77.92,53.95,19.18,82.57,18.69,13.94,66.19,33.09,22.25,51.91,17.27,69.50,15.03,40.86,62.97,49.68,60.04,17.71,81.47,72.97,49.50,75.07,54.23,35.32,66.37,-999,40.62,84.79,21.98,-999,36.46,78.85,35.41,22.58,29.18,53.78,53.30,89.22,89.68,42.24,-999,61.83,79.53,-999,24.03,-999,32.91,49.96,57.95,46.81,14.66,63.84,60.51,54.62,31.10,22.99,45.65,12.59,40.28,89.21,20.72,-999,43.78,11.54,24.73,62.36,81.54,75.26,71.29,-999,35.73,74.97,64.25,71.15,72.33,12.78,-7.23,24.23,55.89,15.68,59.40,-999,159.65,89.73,31.26,-999,62.27,38.69,14.19,80.77,17.28,16.22,80.07,23.35,22.45
77.71,32.47,-999,80.79,88.78,23.83,51.06,50.92,47.36,10.73,65.34,18.79,23.02,59.81,10.03,67.56,88.84,11.29,55.84,56.63,71.10,37.16,28.42,45.73,38.30,42.64,49.60,38.37,60.29,82.75,-999,43.04,-999,30.46,48.38,16.76,18.28,83.96,11.15,39.92,69.36,55.99,33.87,62.90,50.21,19.78,81.67,64.97,-999,23.33,41.94,76.67,53.54,22.71,135.83,76.90,18.10,68.44,28.81,32.93,50.83,79.75,21.89,86.98,38.48,69.99,77.42,85.53,-999,41.24,67.63,14.15,69.95,25.54,84.11,85.30,44.18,59.89,45.63,79.38,30.66,87.10,14.13,29.24,17.34,-999,55.21,62.16,77.54,23.06,11.83,89.27,-999,69.83,64.33,-999,51.30,40.31,18.50,85.66
60.78,30.88,44.06,23.63,86.53,81.50,54.64,60.92,22.58,18.22,30.96,38.11,89.90,85.40,58.00,67.46,-999,83.55,85.74,83.29,31.69,14.52,79.58,62.73,48.17,19.95,15.05,43.18,31.47,63.89,69.96,49.42,42.44,68.03,60.35,62.51,88.24,49.40,62.70,79.46,64.41,46.76,65.22,-999,57.77,21.90,29.63,46.29,48.79,30.43,40.10,67.66,34.73,63.95,24.62,64.57,77.27,48.87,60.23,53.63,21.10,51.68,87.59,87.55,82.81,84.53,36.62,24.27,-999,56.62,27.88,11.61,68.45,66.21,64.24,34.44,75.92,-999,50.99,78.08,84.51,62.64,46.34,32.59,81.28,54.41,36.82,35.04,29.69,11.36,81.65,44.82,59.75,29.87,80.82,59.91,42.28,83.82,63.39,30.08
66.64,52.77,65.11,36.63,25.04,65.93,55.44,54.27,82.22,47.83,49.75,49.80,88.41,15.30,46.39,71.94,31.24,50.89,78.32,80.94,31.86,76.44,19.75,-999,80.70,45.07,49.23,15.33,45.81,33.58,58.38,60.94,22.59,87.27,46.46,28.55,156.17,35.53,-999,32.50,50.32,83.71,10.01,-999,11.75,19.76,41.35,44.46,58.63,22.70,-999,51.92,85.09,53.76,59.75,50.34,65.87,86.64,76.25,64.52,11.21,-999,30.74,-999,-999,27.00,-18.11,29.99,82.33,79.35,41.51,86.58,14.75,68.42,86.98,55.19,47.17,44.11,14.67,37.23,34.73,59.82,81.92,-999,43.80,28.87,22.16,72.03,60.29,24.60,76.03,81.60,63.62,36.51,83.73,88.63,50.23,-999,57.04,77.06
